"","airport_id","name","city","country","iata","icao","latitude","longitude","altitude","timezone","dst","database_timezone","type","source"
"GKA",1,"Goroka Airport","Goroka","Papua New Guinea","GKA","AYGA",-6.08168983459,145.391998291,5282,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"MAG",2,"Madang Airport","Madang","Papua New Guinea","MAG","AYMD",-5.20707988739,145.789001465,20,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"HGU",3,"Mount Hagen Kagamuga Airport","Mount Hagen","Papua New Guinea","HGU","AYMH",-5.82678985595703,144.296005249023,5388,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"LAE",4,"Nadzab Airport","Nadzab","Papua New Guinea","LAE","AYNZ",-6.569803,146.725977,239,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"POM",5,"Port Moresby Jacksons International Airport","Port Moresby","Papua New Guinea","POM","AYPY",-9.44338035583496,147.220001220703,146,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"WWK",6,"Wewak International Airport","Wewak","Papua New Guinea","WWK","AYWK",-3.58383011818,143.669006348,19,"10","U","Pacific/Port_Moresby","airport","OurAirports"
"UAK",7,"Narsarsuaq Airport","Narssarssuaq","Greenland","UAK","BGBW",61.1604995728,-45.4259986877,112,"-3","E","America/Godthab","airport","OurAirports"
"GOH",8,"Godthaab / Nuuk Airport","Godthaab","Greenland","GOH","BGGH",64.19090271,-51.6781005859,283,"-3","E","America/Godthab","airport","OurAirports"
"SFJ",9,"Kangerlussuaq Airport","Sondrestrom","Greenland","SFJ","BGSF",67.0122218992,-50.7116031647,165,"-3","E","America/Godthab","airport","OurAirports"
"THU",10,"Thule Air Base","Thule","Greenland","THU","BGTL",76.5311965942,-68.7032012939,251,"-4","E","America/Thule","airport","OurAirports"
"AEY",11,"Akureyri Airport","Akureyri","Iceland","AEY","BIAR",65.6600036621094,-18.0727005004883,6,"0","N","Atlantic/Reykjavik","airport","OurAirports"
"EGS",12,"Egilsstaðir Airport","Egilsstadir","Iceland","EGS","BIEG",65.2833023071289,-14.4013996124268,76,"0","N","Atlantic/Reykjavik","airport","OurAirports"
"HFN",13,"Hornafjörður Airport","Hofn","Iceland","HFN","BIHN",64.295601,-15.2272,24,"0","N","Atlantic/Reykjavik","airport","OurAirports"
"HZK",14,"Húsavík Airport","Husavik","Iceland","HZK","BIHU",65.952301,-17.426001,48,"0","N","Atlantic/Reykjavik","airport","OurAirports"
"IFJ",15,"Ísafjörður Airport","Isafjordur","Iceland","IFJ","BIIS",66.0580978393555,-23.1352996826172,8,"0","N","Atlantic/Reykjavik","airport","OurAirports"
"KEF",16,"Keflavik International Airport","Keflavik","Iceland","KEF","BIKF",63.985000610352,-22.605600357056,171,"0","N","Atlantic/Reykjavik","airport","OurAirports"
"PFJ",17,"Patreksfjörður Airport","Patreksfjordur","Iceland","PFJ","BIPA",65.555801,-23.965,11,"0","N","Atlantic/Reykjavik","airport","OurAirports"
"RKV",18,"Reykjavik Airport","Reykjavik","Iceland","RKV","BIRK",64.1299972534,-21.9405994415,48,"0","N","Atlantic/Reykjavik","airport","OurAirports"
"SIJ",19,"Siglufjörður Airport","Siglufjordur","Iceland","SIJ","BISI",66.133301,-18.9167,10,"0","N","Atlantic/Reykjavik","airport","OurAirports"
"VEY",20,"Vestmannaeyjar Airport","Vestmannaeyjar","Iceland","VEY","BIVM",63.4243011474609,-20.2789001464844,326,"0","N","Atlantic/Reykjavik","airport","OurAirports"
"YAM",21,"Sault Ste Marie Airport","Sault Sainte Marie","Canada","YAM","CYAM",46.4850006103516,-84.5093994140625,630,"-5","A","America/Toronto","airport","OurAirports"
